Date,Open,High,Low,Close,Adj Close,Volume
2016-09-08,184.679993,185.110001,184.479996,184.820007,180.656540,2229900
2016-09-09,183.570007,183.750000,180.910004,180.910004,176.834610,8242600
2016-09-12,180.089996,183.639999,179.929993,183.300003,179.170761,7056100
2016-09-13,182.059998,182.320007,180.380005,180.800003,176.727097,7477500
2016-09-14,180.839996,181.740005,180.009995,180.429993,176.365402,2990400
2016-09-15,180.369995,182.619995,180.229996,182.259995,178.154175,3932400
2016-09-16,181.500000,181.500000,180.440002,180.970001,177.237793,2844300
2016-09-19,181.880005,182.320007,180.669998,180.979996,177.247574,2260400
2016-09-20,181.809998,182.039993,181.029999,181.050003,177.316116,1997800
2016-09-21,181.660004,182.839996,180.960007,182.660004,178.892944,4496500
2016-09-22,183.660004,184.259995,183.320007,183.660004,179.872314,2323500
2016-09-23,183.410004,183.520004,182.289993,182.419998,178.657883,1741500
2016-09-26,181.509995,181.550003,180.580002,180.750000,177.022339,2639800
2016-09-27,180.580002,182.139999,180.240005,182.000000,178.246552,3717300
2016-09-28,182.360001,183.229996,181.520004,183.100006,179.323868,6413000
2016-09-29,182.820007,183.419998,180.649994,181.220001,177.482651,3376400
2016-09-30,182.130005,183.440002,181.970001,182.779999,179.010468,4583000
2016-10-03,182.309998,182.570007,181.779999,182.320007,178.559952,1987600
2016-10-04,182.619995,182.929993,180.940002,181.479996,177.737244,2811200
2016-10-05,182.160004,183.020004,182.110001,182.660004,178.892944,1818200
2016-10-06,182.339996,182.740005,181.470001,182.520004,178.755859,2368100
2016-10-07,182.800003,182.990005,181.320007,182.220001,178.462021,2527700
2016-10-10,182.220001,183.850006,182.220001,183.119995,179.343445,1879100
2016-10-11,182.860001,182.889999,180.449997,181.199997,177.463074,3949800
2016-10-12,181.000000,181.800003,180.660004,181.369995,177.629532,1920200
2016-10-13,180.130005,181.220001,179.429993,180.839996,177.110458,3460100
2016-10-14,182.000000,182.460007,181.210007,181.289993,177.551193,2698100
2016-10-17,181.169998,181.509995,180.449997,180.720001,176.992935,1801800
2016-10-18,181.940002,182.100006,181.119995,181.369995,177.629532,1720700
2016-10-19,181.850006,182.410004,181.570007,182.000000,178.246552,1503700
2016-10-20,181.720001,182.449997,181.220001,181.539993,177.796036,2359600
2016-10-21,180.600006,181.449997,180.229996,181.220001,177.659164,5607600
2016-10-24,182.360001,182.500000,181.649994,181.960007,178.384628,1905700
2016-10-25,181.820007,182.169998,181.250000,181.479996,177.914032,3351100
2016-10-26,180.600006,182.119995,180.350006,181.770004,178.198318,5375400
2016-10-27,182.300003,182.350006,181.229996,181.529999,177.963058,2027100
2016-10-28,181.820007,182.320007,180.669998,181.360001,177.796402,3726600
2016-10-31,181.580002,181.699997,181.050003,181.169998,177.610107,1415600
2016-11-01,181.520004,181.520004,179.139999,180.119995,176.580750,3622300
2016-11-02,179.660004,180.210007,179.050003,179.350006,175.825897,3552700
2016-11-03,179.699997,179.889999,178.839996,179.110001,175.590591,1966900
2016-11-04,179.110001,179.669998,178.639999,178.710007,175.198471,4337500
2016-11-07,181.169998,182.449997,181.050003,182.360001,178.776749,3402400
2016-11-08,182.199997,184.039993,182.020004,183.380005,179.776688,3437500
2016-11-09,181.929993,186.550003,181.750000,185.960007,182.305984,8363900
2016-11-10,186.830002,188.820007,186.350006,188.130005,184.433365,8748100
2016-11-11,187.949997,188.630005,187.410004,188.470001,184.766678,5003800
2016-11-14,189.110001,189.389999,188.199997,188.770004,185.060791,4796400
2016-11-15,188.759995,189.350006,188.139999,189.339996,185.619583,3750000
2016-11-16,188.789993,189.179993,188.529999,188.979996,185.266678,3459100
2016-11-17,189.089996,189.330002,188.740005,189.300003,185.580383,4211200
2016-11-18,188.899994,188.960007,188.320007,188.460007,185.278564,4359200
2016-11-21,188.880005,189.410004,188.600006,189.339996,186.143707,2999100
2016-11-22,189.919998,190.250000,189.419998,190.020004,186.812241,2756300
2016-11-23,189.929993,190.639999,189.869995,190.589996,187.372604,2465900
2016-11-25,191.089996,191.339996,190.979996,191.300003,188.070618,1547100
2016-11-28,190.929993,191.210007,190.520004,190.779999,187.559402,3159600
2016-11-29,190.830002,191.419998,190.679993,191.190002,187.962463,2264900
2016-11-30,191.970001,192.250000,191.339996,191.399994,188.168915,4774600
2016-12-01,191.839996,192.160004,191.570007,191.899994,188.660477,8323900
2016-12-02,191.910004,191.979996,191.429993,191.740005,188.503174,2773600
2016-12-05,192.479996,192.779999,191.889999,192.220001,188.975082,2925600
2016-12-06,192.160004,192.570007,191.869995,192.490005,189.240540,2669400
2016-12-07,192.470001,195.690002,192.419998,195.479996,192.180069,7241300
2016-12-08,195.830002,196.800003,195.410004,196.279999,192.966553,7032100
2016-12-09,196.440002,197.720001,196.369995,197.690002,194.352753,4392300
2016-12-12,197.839996,198.389999,197.679993,198.080002,194.736160,3791700
2016-12-13,198.960007,199.720001,198.639999,199.229996,195.866745,5357500
2016-12-14,198.970001,199.830002,197.610001,198.139999,194.795166,7456100
2016-12-15,198.539993,199.679993,198.339996,198.660004,195.306396,6033000
2016-12-16,198.699997,198.970001,197.940002,198.190002,195.269409,4467700
2016-12-19,198.300003,198.899994,198.210007,198.600006,195.673355,2729400
2016-12-20,199.160004,199.610001,199.059998,199.419998,196.481247,3062600
2016-12-21,199.429993,199.610001,199.139999,199.160004,196.225113,2523500
2016-12-22,199.100006,199.169998,198.580002,198.970001,196.037903,2250900
2016-12-23,198.960007,199.059998,198.729996,199.050003,196.116730,1374200
2016-12-27,199.160004,199.539993,199.130005,199.210007,196.274368,2340700
2016-12-28,199.520004,199.559998,198.000000,198.080002,195.161026,3818100
2016-12-29,197.990005,198.520004,197.630005,197.990005,195.072342,3018700
2016-12-30,198.250000,198.270004,196.919998,197.509995,194.599426,4277400
2017-01-03,198.910004,199.100006,197.479996,198.419998,195.496017,6669800
2017-01-04,198.759995,199.360001,198.600006,199.149994,196.215240,4823200
2017-01-05,198.949997,199.270004,197.899994,198.750000,195.821152,4124500
2017-01-06,198.729996,199.830002,198.169998,199.509995,196.569931,4322600
2017-01-09,199.089996,199.270004,198.750000,198.759995,195.830994,2299500
2017-01-10,198.720001,199.410004,198.210007,198.399994,195.476318,3029200
2017-01-11,198.630005,199.570007,198.149994,199.330002,196.392593,5209800
2017-01-12,198.880005,198.910004,197.529999,198.750000,195.821152,3865200
2017-01-13,198.910004,199.350006,198.320007,198.699997,195.771851,3468900
2017-01-17,198.270004,198.649994,197.589996,198.089996,195.170883,3329800
2017-01-18,198.080002,198.229996,197.300003,197.949997,195.032944,4634800
2017-01-19,198.029999,198.160004,196.690002,197.279999,194.372818,3050900
2017-01-20,197.529999,198.199997,197.309998,197.960007,195.233795,6999000
2017-01-23,197.860001,198.110001,197.039993,197.779999,195.056244,3249700
2017-01-24,197.789993,199.220001,197.619995,198.839996,196.101639,5205800
2017-01-25,200.009995,200.550003,199.750000,200.419998,197.659882,4880800
2017-01-26,200.600006,200.970001,200.419998,200.720001,197.955765,3999700
2017-01-27,200.690002,200.869995,200.449997,200.630005,197.867004,3576500
2017-01-30,199.830002,199.899994,198.419998,199.380005,196.634247,4718000
2017-01-31,198.720001,198.889999,197.559998,198.360001,195.628265,4628100
2017-02-01,199.130005,199.399994,198.199997,198.630005,195.894531,3676900
2017-02-02,198.160004,198.970001,198.020004,198.610001,195.874817,2640600
2017-02-03,199.580002,200.570007,199.440002,200.380005,197.620453,4857300
2017-02-06,200.029999,200.699997,199.779999,200.279999,197.521805,2770900
2017-02-07,200.889999,201.300003,200.429993,200.580002,197.817703,2606300
2017-02-08,200.500000,200.690002,200.149994,200.509995,197.748642,2291500
2017-02-09,200.820007,202.110001,200.770004,201.720001,198.942001,3487600
2017-02-10,202.300003,203.000000,202.070007,202.740005,199.947937,2880300
2017-02-13,203.320007,204.470001,203.320007,204.199997,201.387817,2637400
2017-02-14,204.059998,205.179993,203.949997,205.169998,202.344498,3586600
2017-02-15,205.389999,206.490005,205.289993,206.380005,203.537811,3646000
2017-02-16,206.550003,206.720001,205.850006,206.479996,203.636429,4589600
2017-02-17,205.029999,205.919998,205.020004,205.880005,203.597885,5747700
2017-02-21,206.559998,207.300003,206.419998,207.070007,204.774689,3076400
2017-02-22,206.729996,207.529999,206.639999,207.449997,205.150452,2254400
2017-02-23,208.059998,208.149994,207.210007,207.820007,205.516373,3179900
2017-02-24,207.080002,207.949997,207.070007,207.929993,205.625122,3703900
2017-02-27,207.729996,208.369995,207.610001,208.289993,205.981140,3433700
2017-02-28,208.110001,208.309998,207.679993,207.979996,205.674576,2821900
